start,end,duration
11号线枫桥路,11号线曹杨路,120
11号线曹杨路,11号线隆德路,120
11号线隆德路,11号线江苏路,180
11号线江苏路,11号线交通大学,240
11号线交通大学,11号线徐家汇,120
11号线徐家汇,11号线上海游泳馆,180
11号线上海游泳馆,11号线龙华,180
11号线龙华,11号线云锦路,120
11号线云锦路,11号线龙耀路,120
11号线龙耀路,11号线东方体育中心,180
11号线东方体育中心,11号线三林,300
11号线三林,11号线三林东,120
11号线三林东,11号线浦三路,180
11号线浦三路,11号线御桥,240
11号线御桥,11号线罗山路,180
11号线花桥,11号线光明路,120
11号线光明路,11号线兆丰路,240
11号线安亭,11号线上海汽车城,120
11号线上海汽车城,11号线昌吉东路,180
11号线昌吉东路,11号线上海赛车场,300
11号线嘉定北,11号线嘉定西,120
11号线嘉定西,11号线白银路,240
11号线白银路,11号线嘉定新城,180
11号线嘉定新城,11号线马陆,180
11号线马陆,11号线南翔,480
11号线南翔,11号线桃浦新村,240
11号线桃浦新村,11号线武威路,120
11号线武威路,11号线祁连山路,120
11号线祁连山路,11号线李子园,180
11号线李子园,11号线上海西站,120
11号线上海西站,11号线真如,180
11号线真如,11号线枫桥路,120
11号线枫桥路,11号线曹杨路,120
11号线曹杨路,11号线隆德路,120
11号线隆德路,11号线江苏路,180
11号线江苏路,11号线交通大学,180
11号线交通大学,11号线徐家汇,180
11号线徐家汇,11号线上海游泳馆,180
11号线上海游泳馆,11号线龙华,120
11号线龙华,11号线云锦路,120
11号线云锦路,11号线龙耀路,120
11号线龙耀路,11号线东方体育中心,180
11号线东方体育中心,11号线三林,300
11号线三林,11号线三林东,120
11号线三林东,11号线浦三路,120
11号线浦三路,11号线御桥,300
11号线御桥,11号线罗山路,180
11号线嘉定北,11号线嘉定西,120
11号线嘉定西,11号线白银路,240
11号线白银路,11号线嘉定新城,180
11号线嘉定新城,11号线马陆,180
11号线马陆,11号线南翔,420
11号线南翔,11号线桃浦新村,240
11号线桃浦新村,11号线武威路,180
11号线武威路,11号线祁连山路,120
11号线祁连山路,11号线李子园,120
11号线李子园,11号线上海西站,180
11号线上海西站,11号线真如,120
11号线真如,11号线枫桥路,120
11号线枫桥路,11号线曹杨路,120
11号线曹杨路,11号线隆德路,120
11号线隆德路,11号线江苏路,180
11号线江苏路,11号线交通大学,240
11号线交通大学,11号线徐家汇,120
11号线徐家汇,11号线上海游泳馆,180
11号线上海游泳馆,11号线龙华,180
11号线龙华,11号线云锦路,120
11号线云锦路,11号线龙耀路,120
11号线龙耀路,11号线东方体育中心,180
11号线东方体育中心,11号线三林,300
11号线三林,11号线三林东,120
11号线三林东,11号线浦三路,180
11号线浦三路,11号线御桥,240
11号线御桥,11号线罗山路,180
11号线秀沿路,11号线康新公路,180
11号线康新公路,11号线迪士尼,240
12号线七莘路,12号线虹莘路,120
12号线虹莘路,12号线顾戴路,180
12号线顾戴路,12号线东兰路,120
12号线东兰路,12号线虹梅路,180
12号线虹梅路,12号线虹漕路,120
12号线虹漕路,12号线桂林公园,120
12号线桂林公园,12号线漕宝路,120
12号线漕宝路,12号线龙漕路,180
12号线龙漕路,12号线龙华,120
12号线龙华,12号线龙华中路,180
12号线龙华中路,12号线大木桥路,180
12号线大木桥路,12号线嘉善路,120
12号线嘉善路,12号线陕西南路,180
12号线陕西南路,12号线南京西路,120
12号线南京西路,12号线汉中路,180
12号线曲阜路,12号线天潼路,180
12号线天潼路,12号线国际客运中心,180
12号线国际客运中心,12号线提篮桥,120
12号线提篮桥,12号线大连路,120
12号线大连路,12号线江浦公园,120
12号线江浦公园,12号线宁国路,120
12号线宁国路,12号线隆昌路,180
12号线隆昌路,12号线爱国路,120
12号线爱国路,12号线复兴岛,120
12号线复兴岛,12号线东陆路,180
12号线东陆路,12号线巨峰路,180
12号线巨峰路,12号线杨高北路,120
12号线杨高北路,12号线金京路,120
12号线金京路,12号线申江路,180
12号线申江路,12号线金海路,180
12号线七莘路,12号线虹莘路,120
12号线虹莘路,12号线顾戴路,120
12号线顾戴路,12号线东兰路,180
12号线东兰路,12号线虹梅路,120
12号线虹梅路,12号线虹漕路,180
12号线虹漕路,12号线桂林公园,120
12号线桂林公园,12号线漕宝路,120
12号线漕宝路,12号线龙漕路,120
12号线龙漕路,12号线龙华,180
12号线龙华,12号线龙华中路,180
12号线龙华中路,12号线大木桥路,120
12号线大木桥路,12号线嘉善路,180
12号线嘉善路,12号线陕西南路,120
12号线陕西南路,12号线南京西路,180
12号线南京西路,12号线汉中路,180
12号线汉中路,12号线曲阜路,180
12号线曲阜路,12号线天潼路,120
12号线天潼路,12号线国际客运中心,240
12号线国际客运中心,12号线提篮桥,120
12号线提篮桥,12号线大连路,120
12号线大连路,12号线江浦公园,120
12号线江浦公园,12号线宁国路,120
12号线宁国路,12号线隆昌路,180
12号线隆昌路,12号线爱国路,120
12号线爱国路,12号线复兴岛,120
12号线复兴岛,12号线东陆路,180
12号线东陆路,12号线巨峰路,120
12号线巨峰路,12号线杨高北路,180
12号线杨高北路,12号线金京路,120
12号线金京路,12号线申江路,120
12号线申江路,12号线金海路,240
13号线金运路,13号线金沙江西路,120
13号线金沙江西路,13号线丰庄,180
13号线丰庄,13号线祁连山南路,180
13号线祁连山南路,13号线真北路,120
13号线真北路,13号线大渡河路,180
13号线大渡河路,13号线金沙江路,180
13号线金沙江路,13号线隆德路,180
13号线隆德路,13号线武宁路,180
13号线武宁路,13号线长寿路,120
13号线江宁路,13号线汉中路,180
13号线汉中路,13号线自然博物馆,120
13号线自然博物馆,13号线南京西路,120
13号线南京西路,13号线淮海中路,120
13号线淮海中路,13号线新天地,180
13号线新天地,13号线马当路,120
13号线马当路,13号线世博会博物馆,120
13号线世博会博物馆,13号线世博大道,180
13号线世博大道,13号线长清路,180
13号线长清路,13号线成山路,120
13号线成山路,13号线东明路,120
13号线东明路,13号线华鹏路,180
13号线华鹏路,13号线下南路,180
13号线下南路,13号线北蔡,120
13号线北蔡,13号线陈春路,120
13号线陈春路,13号线莲溪路,120
13号线莲溪路,13号线华夏中路,180
13号线华夏中路,13号线中科路,180
13号线中科路,13号线学林路,180
13号线学林路,13号线张江路,120
13号线金运路,13号线金沙江西路,120
13号线金沙江西路,13号线丰庄,240
13号线丰庄,13号线祁连山南路,180
13号线祁连山南路,13号线真北路,120
13号线真北路,13号线大渡河路,180
13号线大渡河路,13号线金沙江路,240
13号线金沙江路,13号线隆德路,120
13号线隆德路,13号线武宁路,180
13号线武宁路,13号线长寿路,120
13号线长寿路,13号线江宁路,120
13号线江宁路,13号线汉中路,180
13号线汉中路,13号线自然博物馆,60
13号线自然博物馆,13号线南京西路,180
13号线南京西路,13号线淮海中路,120
13号线淮海中路,13号线新天地,180
13号线新天地,13号线马当路,120
13号线马当路,13号线世博会博物馆,120
13号线世博会博物馆,13号线世博大道,180
13号线世博大道,13号线长清路,180
13号线长清路,13号线成山路,120
13号线成山路,13号线东明路,120
13号线东明路,13号线华鹏路,180
13号线华鹏路,13号线下南路,120
13号线下南路,13号线北蔡,180
13号线北蔡,13号线陈春路,120
13号线陈春路,13号线莲溪路,120
13号线莲溪路,13号线华夏中路,180
13号线华夏中路,13号线中科路,180
13号线中科路,13号线学林路,120
13号线学林路,13号线张江路,120
16号线龙阳路,16号线华夏中路,240
16号线华夏中路,16号线罗山路,240
16号线罗山路,16号线周浦东,240
16号线周浦东,16号线鹤沙航城,240
16号线鹤沙航城,16号线航头东,180
16号线航头东,16号线新场,240
16号线新场,16号线野生动物园,300
16号线野生动物园,16号线惠南,360
16号线惠南,16号线惠南东,300
16号线惠南东,16号线书院,540
16号线书院,16号线临港大道,360
16号线临港大道,16号线滴水湖,180
16号线龙阳路,16号线华夏中路,240
16号线华夏中路,16号线罗山路,240
16号线罗山路,16号线周浦东,300
16号线周浦东,16号线鹤沙航城,240
16号线鹤沙航城,16号线航头东,180
16号线航头东,16号线新场,180
16号线野生动物园,16号线惠南,300
16号线惠南东,16号线书院,480
16号线书院,16号线临港大道,360
16号线临港大道,16号线滴水湖,180
